"Product Name","Merchant SKU","Asin","Condition (New/Old)","Supplier Name (unassigned, if no supplier information provided by you)","Recommended Fulfilment Center (FC Code)","Sales contribution for the zone in INR (Sales in last 30 days)","Number of units sold from the zone ( in last 30 days)  ","Days of supply remaining for the zone ( In days)","No. of Units instock in the zone ( in units)","Low in Stock/ Out of Stock Alert","Original Recommended quantity(in Units)","Original Weeks cover recommended (in weeks)","Final Recommended quantity ( adjusted to available capacity at FC in Units)","Final Weeks cover recommended (adjusted to available capacity at FC in weeks)","Order to supplier date (DD/MM/YYYY )","Ship to FC date (DD/MM/YYYY)","Zone Name","Alternate Fulfillment Center(s) to inbound","Past Recommendations accuracy % (Average in %)"
"Usha EB GS3 001 Cooktop Ebony 3001 (Black)","58-Y2TQ-5L09","B00934760G","New","unassigned","BOM7","22054.22","6","4","0","out_of_stock","5","4","5","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Micromax X421 Mobile Phone (Blue)","98-1M8D-W2ZY","B08J7FYYDQ","New","unassigned","BOM7","27864.56","35","0","0","out_of_stock","5","4","5","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Sujata SuperMix SM Mixer Grinder, 900W, 3 Jars (White)","IC-XNIP-CENO","B01MFA2KUW","New","unassigned","BLR4","0.0","0","0","","out_of_stock","5","4","5","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Sujata SuperMix SM Mixer Grinder, 900W, 3 Jars (White)","JC-9ASN-OTGU","B01MFA2KUW","New","unassigned","BLR4","33585.61","8","4","1","low_stock","5","4","5","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Prestige Electric Kettle PKOSS - 1500watts, Steel (1.5Ltr), Black","PKOSS 1.5","B01MQZ7J8K","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","5","4","5","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Realme Narzo 20 (Victory Blue, 4GB RAM, 64GB Storage)","3S-SEPQ-CZJ4","B08LHKMZD7","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","84.6"
"Morphy Richards New Europa 800-Watt Espresso and Cappuccino 4-Cup Coffee Maker (Black)","5vnu44cqjk","B008P7IF02","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Prestige Omega Deluxe Induction Base Non-Stick Kitchen Set, 3-Pieces","90-FKLX-2TKA","B00EICJA0M","New","unassigned","PNQ2","0.0","0","0","0","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","9H-UYHA-JFCN","B07CR4GRR2","New","unassigned","BLR4","1454.24","4","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","9H-UYHA-JFCN","B07CR4GRR2","New","unassigned","BOM7","126293.35","248","1","1","low_stock","4","4","4","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"TTK Prestige Omega Select Plus Square Induction Base Non-Stick Aluminium Kadai, 250mm, Black","DB-A040-J6FN","B07GQ4CDGW","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Wonderchef Nutri-Blend Compact Food Processor 400W – Red","E7-XSCC-J7Z8","B07XZFZWH6","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","64.3"
"Usha EI 2802 1000-Watt Ultra Lightweight Dry Iron (White)","F4-GTNN-MPT4","B014MBU9JO","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Usha EI 2802 1000-Watt Ultra Lightweight Dry Iron (White)","F4-GTNN-MPT4","B014MBU9JO","New","unassigned","BLR4","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Wonderchef Nutri-Blend Compact Food Processor 400W – Red","FK-K9WT-H8JT","B07XZFZWH6","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","64.3"
"Wonderchef Nutri-Blend Compact Food Processor 400W – Red","FK-K9WT-H8JT","B07XZFZWH6","New","unassigned","BOM7","16976.28","5","0","0","out_of_stock","4","4","4","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","64.3"
"Maharaja Whiteline MX-220 1000 W Ultramax HD 3 Stainless Steel Jar Mixer Grinder (Black with Chrome Finish)","GV-JU04-H6W3","B0835JYNY4","New","unassigned","BLR4","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","91.4"
"Bajaj Glory 500-Watt Mixer Grinder with 3 Jars (White)","HP-SMF1-V1R4","B010FVFK30","New","unassigned","BLR4","56466.14","30","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","79.6"
"Bajaj Glory 500-Watt Mixer Grinder with 3 Jars (White)","HP-SMF1-V1R4","B010FVFK30","New","unassigned","BOM7","100167.94","56","4","3","low_stock","4","4","4","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","79.6"
"Prestige Svachh, 10752, 3 L, Nakshatra Duo Red Handi, with deep lid for Spillage Control","IP-XBXC-2KJ0","B085YG9V27","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Maharaja Whiteline MX-220 1000 W Ultramax HD 3 Stainless Steel Jar Mixer Grinder (Black with Chrome Finish)","LC-EQQQ-GJ3V","B0835JYNY4","New","unassigned","BLR4","3388.98","1","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","91.4"
"Panasonic SR-WA18-E 4.4-Litre Automatic Rice Cooker (White)","M8-XSJW-VFH4","B01GE4XLOW","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"(Renewed) Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner (Red)","QA-PBUP-J9AX","B07CSCXJ1F","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
