"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees.
"
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"14-Feb-2021 8:41:54 am UTC","15013896932","Order
","408-7409645-2233103","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","NEW DELHI","DELHI","110085","422.88","33.90","-33.90","76.12","0","0","-4.23","-32.39","-88.50","-23.60","0","350.28"
"14-Feb-2021 8:42:22 am UTC","15013896932","Order
","402-2700804-1643522","1N-V2NN-FX2P","Prestige PPBW 04 Barbeque","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Hyderabad","TELANGANA","500045","1,854.24","0","0","333.76","0","0","-18.54","-142.00","-152.22","-35.40","0","1,839.84"
"14-Feb-2021 8:42:27 am UTC","15013882102","Order
","407-8895250-3553928","41-ZV4S-QNUW","Usha Goliath GO1200WG Heavy Weight 1200-Watt Dry Iron, 1.8 Kg(Red)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","JAMNAGAR","GUJARAT","361005","1,044.92","4.24","-4.24","188.08","0","0","-10.45","-80.03","-130.98","-35.40","0","976.14"
"14-Feb-2021 8:42:39 am UTC","15013882102","Order
","171-0777136-5850707","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NEW DELHI","DELHI","110075","422.88","0","0","76.12","0","0","-4.23","-32.39","-88.50","-23.60","0","350.28"
"14-Feb-2021 8:42:47 am UTC","15013896932","Order
","406-2813702-2600303","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","GURUGRAM","HARYANA","122001","422.88","33.90","-33.90","76.12","0","0","-4.23","-32.39","-88.50","-23.60","0","350.28"
"14-Feb-2021 8:44:04 am UTC","15013896932","Refund
","403-2842800-9798742","L5-A9FO-6R1Q","Prestige Omega Deluxe Induction Base Non-Stick Kitchen Set, 3-Pieces","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","BENGALURU","KARNATAKA","560043","-2,088.39","-35.71","35.71","-250.61","0","0","20.88","143.53","0","35.40","0","-2,139.19"
"14-Feb-2021 8:53:47 am UTC","15013882102","Order
","407-0701553-3677956","J9-NB5P-JQ5T","Sujata Powermatic Plus - 501-A.I 900-Watt Juicer Mixer Grinder (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BENGALURU","KARNATAKA","560034","4,704.24","0","0","846.76","-23.52","-23.52","0","-425.76","-258.42","-35.40","0","4,784.38"
"14-Feb-2021 9:12:52 am UTC","15013882102","Order
","402-4412970-1990742","panasonic_KX_TG3712SXB","Panasonic Single Line 2.4GHz KX-TG3712SXB Digital Cordless Telephone (Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Bangalore","Karnataka","560079","3,474.58","0","0","625.42","0","0","-34.75","-241.90","-88.50","-35.40","0","3,699.45"
"14-Feb-2021 9:14:37 am UTC","15013896932","Order
","405-5396112-5847511","HS-Q6C5-H656","Pigeon by Stovekraft Non-Stick Kadai,150 with SS Lid - Dia 19.7cm","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Bethuadahari","WEST BENGAL","741126","641.96","35.71","-35.71","77.04","0","0","-6.42","-97.57","-109.74","-17.70","0","487.57"
"14-Feb-2021 9:15:41 am UTC","15013882102","Order
","404-4975139-9526708","4M-KK48-WR4U","Saregama Carvaan Mini 2.0 Bhakti- Music Player with Bluetooth/FM/AM/AUX (Orange)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","berhampur","odisha","760009","1,686.44","0","0","303.56","0","0","-16.86","-199.60","-62.54","-35.40","0","1,675.60"
