"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees.
"
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"17-Feb-2021 12:12:32 pm UTC","15031785422","Order
","402-1704894-0133923","VB-NNGL-XOL3","Panasonic SR-WA10 450-Watt Automatic Cooker Without Warmer (White)(Raw Capacity-0.6 kgs)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","VANIYANBADI","TAMIL NADU","635751","1,253.39","33.90","-33.90","225.61","0","0","-12.53","-95.99","-130.98","-35.40","0","1,204.10"
"17-Feb-2021 12:12:55 pm UTC","15031785422","Refund
","406-8318467-3317928","89-BAQI-G0RY","Bajaj Majesty RCX 1 Mini 0.4-Litre Multifunction Rice Cooker (White)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","MUMBAI","MAHARASHTRA","400059","-1,137.29","-84.75","0","-219.96","0","0","12.22","87.10","100.00","35.40","0","-1,207.28"
"17-Feb-2021 12:13:29 pm UTC","15031817372","Refund
","171-6015326-3513963","0H-4D7D-C3FJ","Eureka Forbes Aquasure from Aquaguard Aquaflo DX Wall Mountable UV White 120 L/hr Water Purifier","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","THANE","MAHARASHTRA","400606","-4,574.58","0","0","-823.42","0","0","45.75","414.03","0","35.40","0","-4,902.82"
"17-Feb-2021 12:14:18 pm UTC","15031785422","FBA Inventory Fee
","","","FBA Prep Fee: Labeling","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","-116.82","-116.82"
"17-Feb-2021 12:14:34 pm UTC","15031785422","Order
","408-1731185-3358724","GF-3KCS-4AID","Nutri-Blend Complete Kitchen Machine, 22000 RPM Mixer-Grinder, Blender, Chopper, Juicer, SS Blades, 4 Unbreakable Jars, 2 Years Warranty, 400W-Black,","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","THANE","MAHARASHTRA","400607","0","0","0","0","0","0","0","0","0","0","0","0"
"17-Feb-2021 12:16:42 pm UTC","15031817372","Refund
","402-3657177-1496358","QZ-ESXD-YX7A","Eureka Forbes Aquasure from Aquaguard Xtra Tuff 15-Liter Water Purifier","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BHUBANESWAR","ODISHA","751013","-1,329.66","-16.95","16.95","-239.34","0","0","13.30","101.83","0","35.40","0","-1,418.47"
"17-Feb-2021 12:17:31 pm UTC","15031817372","Order
","171-9763308-5181169","YF-55MP-8GWB","Saregama Carvaan Mini 2.0- Music Player with Bluetooth/FM/AM/AUX (Skyline Blue)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","KHARAGPUR","WEST BENGAL","721302","1,686.44","0","0","303.56","0","0","-16.86","-199.60","-62.54","-35.40","0","1,675.60"
"17-Feb-2021 12:19:08 pm UTC","15031817372","Refund
","404-8351340-6181162","LS-HEBN-E5O2","Wonderchef Luxor Wok 24cm","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","VISAKHAPATNAM","ANDHRA PRADESH","530003","-1,245.54","-17.86","17.86","-149.46","0","0","12.46","151.44","0","53.10","0","-1,178.00"
"17-Feb-2021 12:26:02 pm UTC","15031817372","Refund
","407-9607584-5896336","NE-GPH7-Y6XW","Bajaj Blow Hot 2000 Watts Fan Forced Circulation Room Heater","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","GREATER NOIDA","UTTAR PRADESH","201310","-1,479.66","0","0","-266.34","0","0","14.80","32.97","0","35.40","0","-1,662.83"
"17-Feb-2021 12:26:09 pm UTC","15031785422","Refund
","403-5938240-7793157","N7-3UFW-KYB9","Usha Thunderbolt Mixer Grinder 800-Watt 3 Jars with Copper Motor(Red)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","GOKUL SHIRGAON MIDC","MAHARASHTRA","416234","-3,018.64","-33.90","33.90","-543.36","15.09","15.09","0","184.94","0","35.40","0","-3,311.48"
"17-Feb-2021 1:27:02 pm UTC","15031785422","Refund
","408-5084856-1197965","LP-5009-DWF6","Eureka Forbes Easy Clean Plus 800-Watt Vacuum Cleaner with Suction & Blower (Sliver) (Sliver)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","AHMADNAGAR","MAHARASHTRA","414001","-2,465.26","-33.90","33.90","-443.74","12.33","12.33","0","151.04","0","35.40","0","-2,697.90"
"17-Feb-2021 2:03:15 pm UTC","15031817372","Order
","404-0777773-9440344","0H-4D7D-C3FJ","Eureka Forbes Aquasure from Aquaguard Aquaflo DX Wall Mountable UV White 120 L/hr Water Purifier","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","PIMPRI CHINCHWAD","MAHARASHTRA","411033","4,490.68","0","0","808.32","0","0","-44.91","-406.44","-258.42","-35.40","0","4,553.83"
"17-Feb-2021 2:33:24 pm UTC","15031817372","Order
","406-6617657-4909906","0H-4D7D-C3FJ","Eureka Forbes Aquasure from Aquaguard Aquaflo DX Wall Mountable UV White 120 L/hr Water Purifier","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","PUNE","MAHARASHTRA","411015","4,490.68","33.90","-33.90","808.32","0","0","-44.91","-406.44","-258.42","-35.40","0","4,553.83"
"17-Feb-2021 2:43:37 pm UTC","15031817372","Order
","402-9855189-5149151","IF-7LZ4-UNJ6","Maharaja Whiteline MX-222 800W Ultramax Elite 3 Stainless Steel Jar + 1 Juicer Jar Mixer Grinder (Red with Chrome Finish)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","CHENNAI","TAMIL NADU","600083","3,176.27","0","0","571.73","0","0","-31.76","-243.24","-272.58","-35.40","0","3,165.02"
"17-Feb-2021 3:05:56 pm UTC","15031817372","Order
","171-9160864-2891552","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Ulhasnagar","MAHARASHTRA","421004","422.88","0","0","76.12","0","0","-4.23","-32.39","-88.50","-23.60","0","350.28"
"17-Feb-2021 3:05:59 pm UTC","15031817372","Order
","404-3936496-2925132","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","VISAKHAPATNAM","ANDHRA PRADESH","530003","422.88","0","0","76.12","0","0","-4.23","-32.39","-88.50","-23.60","0","350.28"
"17-Feb-2021 3:08:57 pm UTC","15031817372","Order
","406-9817668-7667565","C2-L653-R55N","Wahl Clipper Color Pro Cordless Rechargeable Hair Clippers, Hair Trimmer, 21 pieces Hair Cutting Kit, Color Coded Guide Combs for Men, Kids and Babies","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","HYDERABAD","TELANGANA","500062","3,642.37","0","0","655.63","0","0","-36.42","-481.81","-88.50","-35.40","0","3,655.87"
"17-Feb-2021 3:15:09 pm UTC","15031785422","Order
","171-2637709-2643501","IY-Z97E-DNL0","Prestige Platina SS Fry Pan 260 mm","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","MUMBAI","MAHARASHTRA","400080","1,098.21","0","0","131.79","0","0","-10.98","-94.34","-152.22","-35.40","0","937.06"
"17-Feb-2021 3:22:45 pm UTC","15031817372","Order
","402-5996574-8425146","65-CEA5-X2ZO","Wahl 05439-1024 Super Dry Turbo- 2000Watts (Red)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","SRINAGAR","JAMMU & KASHMIR","190003","2,883.05","33.90","-33.90","518.95","0","0","-28.83","-381.36","-109.74","-35.40","0","2,846.67"
"17-Feb-2021 3:26:43 pm UTC","15031817372","Order
","405-1174332-9476303","6X-FHML-S0RF","Wahl Professional 08466-424 Super Taper Professional Corded Clipper","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","COIMBATORE","TAMIL NADU","641042","3,028.81","0","0","545.19","0","0","-30.29","-400.65","-109.74","-35.40","0","2,997.92"
"17-Feb-2021 3:28:42 pm UTC","15031785422","Order
","404-1728031-5471548","QZ-ESXD-YX7A","Eureka Forbes Aquasure from Aquaguard Xtra Tuff 15-Liter Water Purifier","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Arvi","MAHARASHTRA","442201","1,329.66","33.90","-33.90","239.34","-6.65","-6.65","0","-101.83","-187.62","-35.40","0","1,230.85"
"17-Feb-2021 3:29:54 pm UTC","15031785422","Order
","406-1841044-1045143","QZ-ESXD-YX7A","Eureka Forbes Aquasure from Aquaguard Xtra Tuff 15-Liter Water Purifier","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","KOZHIKODE","KERALA","673521","1,329.66","0","0","239.34","0","0","-13.30","-101.83","-187.62","-35.40","0","1,230.85"
"17-Feb-2021 3:31:14 pm UTC","15031785422","Order
","408-8269989-0973148","YR-XNGV-U0KY","Prestige PGMFB 800 Watt Grill Sandwich Toaster with Fixed Grill Plates, Black","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","PUNE","MAHARASHTRA","411014","0","0","0","0","0","0","0","0","0","0","0","0"
"17-Feb-2021 3:32:23 pm UTC","15031817372","Refund
","408-1763284-2695533","VF-E7DT-39R3","realme Fashion Watch 1.4"" Large HD Color Display, Full Touch Screen, SpO2, Continuous Heart Rate Monitor","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MAHAD MIDC","MAHARASHTRA","402302","-3,038.14","-33.90","33.90","-546.86","0","0","30.38","613.40","0","53.10","0","-2,888.12"
"17-Feb-2021 3:34:38 pm UTC","15031817372","Order
","403-4661678-8776369","QZ-ESXD-YX7A","Eureka Forbes Aquasure from Aquaguard Xtra Tuff 15-Liter Water Purifier","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Dwarka","DELHI","110075","1,329.66","33.90","-33.90","239.34","0","0","-13.30","-101.83","-187.62","-35.40","0","1,230.85"
"17-Feb-2021 3:41:30 pm UTC","15031817372","Order
","171-7825695-7575565","G7-5IHV-DWGL","Morphy Richards Fresco 800-Watt 4-Cups Espresso Coffee Maker (Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","AHMEDABAD","GUJARAT","380054","3,168.64","0","0","570.36","0","0","-31.69","-242.67","-173.46","-35.40","0","3,255.78"
"17-Feb-2021 3:41:34 pm UTC","15031785422","Order
","406-7162824-1653112","X0-8H08-04VV","Prestige Deluxe Plus Baby Induction Base Aluminium Pressure Handi, 2 Litres, Flame Red","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","BAHRAICH","UTTAR PRADESH","271801","1,482.14","35.71","-35.71","177.86","0","0","-14.82","-137.12","-152.22","-35.40","0","1,320.44"
"17-Feb-2021 3:41:43 pm UTC","15031785422","Order
","403-0054668-9117913","G7-5IHV-DWGL","Morphy Richards Fresco 800-Watt 4-Cups Espresso Coffee Maker (Black)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","AHMEDABAD","GUJARAT","382481","3,168.64","0","0","570.36","0","0","-31.69","-242.67","-173.46","-35.40","0","3,255.78"
"17-Feb-2021 3:41:46 pm UTC","15031817372","Order
","406-5929931-8069126","L5-A9FO-6R1Q","Prestige Omega Deluxe Induction Base Non-Stick Kitchen Set, 3-Pieces","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BENGALURU","KARNATAKA","560098","1,828.57","35.71","-35.71","219.43","0","0","-18.29","-157.08","-173.46","-35.40","0","1,663.77"
"17-Feb-2021 3:41:52 pm UTC","15031817372","Order
","407-7212677-9557115","AI-TIK7-CJLH","Prestige Popular Plus Induction Base Pressure Cooker, 12 Litres","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","HYDERABAD","TELANGANA","500090","2,830.36","35.71","-35.71","339.64","0","0","-28.30","-261.84","-230.10","-35.40","0","2,614.36"
"17-Feb-2021 3:55:27 pm UTC","15031817372","Order
","404-8301204-2684343","YF-55MP-8GWB","Saregama Carvaan Mini 2.0- Music Player with Bluetooth/FM/AM/AUX (Skyline Blue)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BHIWADI","RAJASTHAN","301019","1,686.44","33.90","-33.90","303.56","0","0","-16.86","-199.60","-62.54","-35.40","0","1,675.60"
"17-Feb-2021 3:55:39 pm UTC","15031817372","Order
","402-1644849-0279529","YF-55MP-8GWB","Saregama Carvaan Mini 2.0- Music Player with Bluetooth/FM/AM/AUX (Skyline Blue)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Lucknow","UTTAR PRADESH","226006","1,686.44","33.90","-33.90","303.56","0","0","-16.86","-199.60","-62.54","-35.40","0","1,675.60"
"17-Feb-2021 3:55:45 pm UTC","15031817372","Order
","407-4869264-0872349","1X-SLE0-YGBL","Morphy Richards Mini 300-Watts DC Motor Chopper (Rose Gold)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","CHENNAI","TAMIL NADU","600101","1,643.22","33.90","-33.90","295.78","0","0","-16.43","-125.85","-109.74","-35.40","0","1,651.58"
"17-Feb-2021 3:55:49 pm UTC","15031817372","Order
","407-4323722-1464306","YF-55MP-8GWB","Saregama Carvaan Mini 2.0- Music Player with Bluetooth/FM/AM/AUX (Skyline Blue)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NASHIK","MAHARASHTRA","422101","1,686.44","33.90","-33.90","303.56","0","0","-16.86","-199.60","-62.54","-35.40","0","1,675.60"
"17-Feb-2021 3:55:52 pm UTC","15031817372","Order
","408-0317354-8478776","KY-H34R-68T0","Prestige Induction Cooktop Pic 20.0 With Omega Deluxe Byk Set 3 Pc Set,Black","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","GURUGRAM","HARYANA","122002","3,041.53","33.90","-33.90","547.47","0","0","-30.42","-232.93","-230.10","-35.40","0","3,060.15"
"17-Feb-2021 3:56:04 pm UTC","15031817372","Order
","405-6008761-9321916","YF-55MP-8GWB","Saregama Carvaan Mini 2.0- Music Player with Bluetooth/FM/AM/AUX (Skyline Blue)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","RATLAM","MADHYA PRADESH","457001","1,686.44","33.90","-33.90","303.56","-8.43","-8.43","0","-199.60","-62.54","-35.40","0","1,675.60"
"17-Feb-2021 3:57:04 pm UTC","15031785422","Adjustment
","402-0148863-5157161","05-BBOD-EEHZ","FBA Inventory Reimbursement - Customer Service Issue","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","599.98","599.98"
"17-Feb-2021 4:11:02 pm UTC","15031817372","Order
","402-0774557-8469952","TN-Y34P-OK99","Sujata Dynamix DX Mixer Grinder, 900W, 3 Jars (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUMBAI","MAHARASHTRA","400081","4,897.46","33.90","-33.90","881.54","0","0","-48.97","-443.26","-258.42","-35.40","0","4,992.95"
"17-Feb-2021 4:17:33 pm UTC","15031817372","Refund
","408-4472354-0265916","VF-E7DT-39R3","realme Fashion Watch 1.4"" Large HD Color Display, Full Touch Screen, SpO2, Continuous Heart Rate Monitor","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","VIZIANAGARAM","ANDHRA PRADESH","535580","-3,038.14","0","0","-551.44","0","0","30.63","613.40","0","53.10","0","-2,917.87"
"17-Feb-2021 4:19:02 pm UTC","15031817372","Order
","407-4515891-5909158","HS-Q6C5-H656","Pigeon by Stovekraft Non-Stick Kadai,150 with SS Lid - Dia 19.7cm","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NEW DELHI","DELHI","110002","641.96","0","0","77.04","0","0","-6.42","-97.57","-109.74","-17.70","0","487.57"
"17-Feb-2021 4:27:18 pm UTC","15031785422","Refund
","405-4856047-6160305","3N-A2NC-9JIF","Wahl Professional Moser 1400-0016 Hair Clipper (Red)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","KOLKATA","WEST BENGAL","700021","-1,690.68","-6.78","6.78","-304.32","0","0","16.91","223.65","0","35.40","0","-1,719.04"
"17-Feb-2021 4:39:38 pm UTC","15031817372","Order
","171-9516277-4619537","8X-AZQL-GWOE","Panasonic Single Line 2.4GHz KX-TG3711SX Digital Cordless Telephone","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","CHENNAI","TAMIL NADU","600087","2,115.25","33.90","-33.90","380.75","0","0","-21.15","-147.26","-88.50","-35.40","0","2,203.69"
"17-Feb-2021 4:39:53 pm UTC","15031817372","Order
","171-9578773-9358707","8X-AZQL-GWOE","Panasonic Single Line 2.4GHz KX-TG3711SX Digital Cordless Telephone","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Burhanpur","MADHYA PRADESH","450331","2,115.26","0","0","380.74","-10.58","-10.58","0","-147.26","-88.50","-35.40","0","2,203.68"
"17-Feb-2021 4:39:56 pm UTC","15031817372","Order
","404-7433191-6612349","JC-9ASN-OTGU","Sujata SuperMix SM Mixer Grinder, 900W, 3 Jars (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUMBAI","MAHARASHTRA","400101","4,362.71","33.90","-33.90","785.29","0","0","-43.63","-394.85","-230.10","-35.40","0","4,444.02"
"17-Feb-2021 4:40:12 pm UTC","15031817372","Order
","407-2852046-6949165","ID-4QKW-F311","Wonderchef Nutri-Pot 3L 7 in 1 Programmable (Slow Cooker, Steamer, Yogurt Maker, Saute, Rice Cooker, Warmer and Pressure Cooker) 18 preset functions f","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","GURUGRAM","HARYANA","122001","4,278.81","0","0","770.19","0","0","-42.79","-387.26","-215.94","-35.40","0","4,367.61"
"17-Feb-2021 4:53:06 pm UTC","15031817372","Order
","171-5112651-5349915","JC-9ASN-OTGU","Sujata SuperMix SM Mixer Grinder, 900W, 3 Jars (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","KANPUR","UTTAR PRADESH","208012","4,362.71","0","0","785.29","0","0","-43.63","-394.85","-230.10","-35.40","0","4,444.02"
"17-Feb-2021 5:07:02 pm UTC","15031817372","Order
","404-0102147-5906754","0K-OYMU-W4KX","OPPO Reno3 Pro (Sky White, 8GB RAM, 128GB Storage) Without Offer","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BHARATPUR","RAJASTHAN","321001","19,655.93","0","0","3,538.07","0","0","-196.56","-1,368.45","0","-35.40","0","21,593.59"
"17-Feb-2021 5:15:27 pm UTC","15031817372","Order
","402-3056503-2073128","8X-AZQL-GWOE","Panasonic Single Line 2.4GHz KX-TG3711SX Digital Cordless Telephone","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","PUNE","MAHARASHTRA","411028","2,115.25","33.90","-33.90","380.75","0","0","-21.15","-147.26","-88.50","-35.40","0","2,203.69"
"17-Feb-2021 5:20:17 pm UTC","15031785422","Order
","171-0581154-5380341","QZ-ESXD-YX7A","Eureka Forbes Aquasure from Aquaguard Xtra Tuff 15-Liter Water Purifier","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","LUCKNOW","UTTAR PRADESH","226021","1,329.66","0","0","239.34","0","0","-13.30","-101.83","-187.62","-35.40","0","1,230.85"
"17-Feb-2021 5:23:43 pm UTC","15031817372","Order
","406-7873136-0109167","QZ-ESXD-YX7A","Eureka Forbes Aquasure from Aquaguard Xtra Tuff 15-Liter Water Purifier","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUMBAI","MAHARASHTRA","400093","1,329.66","0","0","239.34","-6.65","-6.65","0","-101.83","-187.62","-35.40","0","1,230.85"
"17-Feb-2021 5:26:44 pm UTC","15031817372","Order
","171-6634629-7133153","IY-Z97E-DNL0","Prestige Platina SS Fry Pan 260 mm","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUMBAI","MAHARASHTRA","400069","1,098.21","0","0","131.79","0","0","-10.98","-94.34","-152.22","-35.40","0","937.06"
"17-Feb-2021 5:29:06 pm UTC","15031817372","Order
","171-7520379-6666757","VB-NNGL-XOL3","Panasonic SR-WA10 450-Watt Automatic Cooker Without Warmer (White)(Raw Capacity-0.6 kgs)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NELLORE","ANDHRA PRADESH","524137","1,253.39","33.90","-33.90","225.61","0","0","-12.53","-95.99","-130.98","-35.40","0","1,204.10"
"17-Feb-2021 5:34:41 pm UTC","15031785422","Order
","171-8755557-0120344","1N-V2NN-FX2P","Prestige PPBW 04 Barbeque","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","GURGAON","HARYANA","122001","1,854.24","0","0","333.76","0","0","-18.54","-142.00","-152.22","-35.40","0","1,839.84"
"17-Feb-2021 5:34:54 pm UTC","15031817372","Order
","404-8559633-8067517","GF-3KCS-4AID","Nutri-Blend Complete Kitchen Machine, 22000 RPM Mixer-Grinder, Blender, Chopper, Juicer, SS Blades, 4 Unbreakable Jars, 2 Years Warranty, 400W-Black,","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","GURUGRAM","HARYANA","122010","2,872.03","0","0","516.97","0","0","-28.72","-219.95","-152.22","-35.40","0","2,952.71"
"17-Feb-2021 5:38:57 pm UTC","15031817372","Order
","407-9693427-2366707","3Q-2DM3-OUIJ","Samsung Galaxy Buds Live (SM-R180NZKAINU) Mystic Black","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","GURUGRAM","HARYANA","122001","10,075.42","0","0","1,813.58","0","0","-100.75","-2,104.35","-62.54","-35.40","0","9,585.96"
"17-Feb-2021 5:42:06 pm UTC","15031817372","Order
","405-9009796-3689165","LP-5009-DWF6","Eureka Forbes Easy Clean Plus 800-Watt Vacuum Cleaner with Suction & Blower (Sliver) (Sliver)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BENGALURU","KARNATAKA","560103","2,465.26","84.74","0","459.00","-12.75","-12.75","0","-188.80","-252.22","-35.40","0","2,507.08"
"17-Feb-2021 5:53:47 pm UTC","15031817372","Order
","402-4333000-2390718","8X-AZQL-GWOE","Panasonic Single Line 2.4GHz KX-TG3711SX Digital Cordless Telephone","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","HYDERABAD","TELANGANA","500020","2,115.25","0","0","380.75","0","0","-21.15","-147.26","-88.50","-35.40","0","2,203.69"
"17-Feb-2021 5:57:28 pm UTC","15031817372","Refund
","171-7598586-7550750","YF-55MP-8GWB","Saregama Carvaan Mini 2.0- Music Player with Bluetooth/FM/AM/AUX (Skyline Blue)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MURWARA KATNI","MADHYA PRADESH","483504","-1,686.44","-33.90","33.90","-308.14","8.56","8.56","0","199.60","30.00","35.40","0","-1,737.88"
"17-Feb-2021 5:59:16 pm UTC","15031817372","Order
","402-6859923-8154745","0K-OYMU-W4KX","OPPO Reno3 Pro (Sky White, 8GB RAM, 128GB Storage) Without Offer","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NEW DELHI","DELHI","110065","19,655.93","0","0","3,538.07","0","0","-196.56","-1,368.45","0","-35.40","0","21,593.59"
"17-Feb-2021 6:30:40 pm UTC","15031817372","Order
","408-0648130-5706738","JV-HVQH-NJEZ","Prestige Popular Plus Induction Base Pressure Cooker, 7.5 Litres, Silver","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MIRA ROAD","MAHARASHTRA","401107","2,232.14","0","0","267.86","0","0","-22.32","-206.50","-187.62","-35.40","0","2,048.16"
"17-Feb-2021 6:31:10 pm UTC","15031785422","Order
","406-8540953-9187516","VB-NNGL-XOL3","Panasonic SR-WA10 450-Watt Automatic Cooker Without Warmer (White)(Raw Capacity-0.6 kgs)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","NAVI MUMBAI","MAHARASHTRA","400701","1,245.76","0","0","224.24","-6.23","-6.23","0","-95.40","-130.98","-35.40","0","1,195.76"
"17-Feb-2021 6:32:15 pm UTC","15031817372","Order
","171-0151215-3022740","WL-Q8JZ-EJZL","Bajaj Majesty One 1000-Watt Dry Iron (Red/Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUMBAI","MAHARASHTRA","400078","884.75","33.90","-33.90","159.25","0","0","-8.85","-67.76","-88.50","-35.40","0","843.49"
"17-Feb-2021 6:44:57 pm UTC","15031785422","Adjustment
","402-4395851-7090755","GF-3KCS-4AID","FBA Inventory Reimbursement - Customer Return","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","1,439.28","1,439.28"
"17-Feb-2021 6:52:09 pm UTC","15031817372","Order
","403-2546460-3010716","QZ-ESXD-YX7A","Eureka Forbes Aquasure from Aquaguard Xtra Tuff 15-Liter Water Purifier","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUMBAI","MAHARASHTRA","400012","1,329.66","0","0","239.34","-6.65","-6.65","0","-101.83","-187.62","-35.40","0","1,230.85"
"17-Feb-2021 7:00:10 pm UTC","15031817372","Order
","404-5658754-1900326","03-VSKX-RZLW","Pigeon by Stovekraft Non-Stick Fry Pan, 28cm","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","THANE","MAHARASHTRA","400601","740.18","0","0","88.82","-3.70","-3.70","0","-112.50","-130.98","-17.70","0","560.42"
"17-Feb-2021 7:25:14 pm UTC","15031817372","Order
","403-1543646-4805940","GF-3KCS-4AID","Nutri-Blend Complete Kitchen Machine, 22000 RPM Mixer-Grinder, Blender, Chopper, Juicer, SS Blades, 4 Unbreakable Jars, 2 Years Warranty, 400W-Black,","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BENGALURU","KARNATAKA","560008","2,872.03","0","0","516.97","0","0","-28.72","-219.95","-152.22","-35.40","0","2,952.71"
"17-Feb-2021 7:25:30 pm UTC","15031817372","Order
","406-2054788-1048328","1N-V2NN-FX2P","Prestige PPBW 04 Barbeque","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BENGALURU","KARNATAKA","560048","1,854.24","0","0","333.76","0","0","-18.54","-142.00","-152.22","-35.40","0","1,839.84"
"17-Feb-2021 7:29:42 pm UTC","15031785422","Order
","404-1968059-6442735","XI-TXM4-F125","Wonderchef Reva Flat Aluminum Nonstick Dosa Tawa- 28cm, 4mm, Black","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","AMRITSAR","PUNJAB","143001","1,105.36","0","0","132.64","0","0","-11.05","-168.00","-130.98","-35.40","0","892.57"
