Product Name,Sku,Facility,Stock,Cost Price,Avg Cost Price,Mrp,Selling Price
First Smile New Born Baby Hosiery Cotton Cloth Reusable Diaper Nappies | Soft Cotton | Comfortable | For Newborn | Infant | Washable For Babies (Carto,Fir-Smi-Hos-Cott-Diaper-Nappies,Defective001,2,0,0,0,0
CloudNine Medical Infrared Thermometer,Cloudnine-Med-Inf-Thermo,Defective001,19,0,0,0,0
Wahl Moser Hair Trimmer Professional Edition 1400 Red,01400-0016,Defective001,14,0,0,0,0
Wahl 08655-024 Hair Clipper Runtime: 0 min Trimmer for Men,08655-024,Defective001,1,0,0,0,0
Wahl 79465-224 Extreme Grip (Black),79465-224,Defective001,3,0,0,0,0
Wahl 08747-024 Classic Series Clipper (Multicolor),08747-024,Defective001,1,0,0,0,0
"Wahl Wahl Color Pro hair Clipper Color Coded Cordless Clipper for Men, (Blue)",Wahl-09649-024,Defective001,3,0,0,0,0
"Wahl 08591-1024 Wahl Designer Cordless & Corded Clipper, Black (Black)",Wahl-08591-1024,Defective001,1,0,0,0,0
"SYSKA HB100 Ultraclip Hair Clipper with Super Fast Charging, Runtime-90Mins, 20 Length Settings (Black)",SYS-HB-100,Defective001,2,0,0,0,0
Syska FT2309 Female Precision and Bikini Battery Operated Trimmer (White Pink),SYS-FT-2309-WHT-PNK,Defective001,1,0,0,0,0
Prestige Clean Home 42609 Aluminium Spray Mop (Blue),42609,Defective001,1,0,0,0,0
Wahl 9243-4724 Home Cut Complete Hair Cutting Clipper,Wahl-9243-4724,Defective001,3,0,0,0,0
SYSKA HT3333K Corded & Cordless Stainless Steel Blade Grooming Trimmer with 60 Minutes Working Time; 10 Length Settings (Black),Sys-HT3333-Tri-Blk,Defective001,1,0,0,0,0
Panasonic SR-KA22A 5.7-Litre 745-Watt Automatic-Jar Cooker/Warmer,Pan-SR-KA22A-5-7,Defective001,2,0,0,0,0
Wahl 08110-624 Balding Clipper (Multicolor),Wahl-08110-624,Defective001,2,0,0,0,0
Morphy Richards Kaffeto 1350 W Milk Frother and Coffee Maker,Mor-Ric-Kaffeto-1350,Defective001,1,0,0,0,0
"Kenstar Aster Digi 1500-Watt Oxy Fryer (3.5 L,Black)",Ken-Aster-Digi-fry-Blk,Defective001,5,0,0,0,0
Wonderchef Nutri-Blend Complete Kitchen Machine (CKM) with 3 Jars 400W - Red,Wond-Nutri-CKM-3Jar-Red,Defective001,3,0,0,0,0
Syska HT800 Cordless Trimmer for Men (Black),Sys-HT800-Blk,Defective001,17,0,0,0,0
Kenstar Snacky 750-Watt Sandwich Maker (Black),Ken-Snacky-750-San-Mak-Blk,Defective001,2,0,0,0,0
Wahl Balding Clipper,08110-624,Defective001,1,0,0,0,0
Wahl Beretto Clipper,08843-024,Defective001,4,0,0,0,0
Wahl Swan Trigger Point Massager,WMHM6-0124,Defective001,2,0,0,0,0
Syska HT400 Ultra trim Beard plus Trimmer,Sys-HT-400-Trim-Blk,Defective001,1,0,0,0,0
"Micromax X744 (BT Calling, Power Saving Mode, 2200mAh) (Blue)",Mic-X744-Blue,Defective001,1,0,0,0,0
Micromax X750 Black,Mic-X750-Blk,Defective001,2,0,0,0,0
Bajaj MX35N 2000 Watts Steam Iron (Black),baj-Mx-35-Steam-Iron-Blk,Defective001,1,0,0,0,0
Wahl 04298-024 Mini Therapy Massager,Wahl-04298-024,Defective001,1,0,0,0,0
"Micromax X746 (Power Saving Mode, Torch Link on Call, 3000mAh, Blue)",Mic-X746-Blue,Defective001,1,0,0,0,0
Wahl Allergy Relief Anti-Fung Shampoo White 3785ml,Wahl-58770,Defective001,4,0,0,0,0
"Pigeon by Stovekraft Tango Glass-Ceramic 2 Burner Gas Stove, Black",Pig-Stv-Tango-Stove,Defective001,1,0,0,0,0
Nokia 105 SS (Pink),Nokia 105 Single Sim Pink SS,Defective001,1,0,0,1349,1248
"Wahl 05560-3824  Runtime: 30 min Trimmer for Men & Women (Black, Silver)",05560-3824,Defective001,3,0,0,740,740
Wahl Oval Paddle brush - Black & Rose Gold,WCHB8-124,Defective001,1,0,0,0,0
Wahl Paddle Brush Handbag Size - Black,WCHB6-024,Defective001,1,0,0,0,0
Morphy Richards Voyager 100 0.5-Litre Electric Kettle (White),Mor-Ric-Voy-100-0-5-ele-ket-wht,Defective001,1,0,0,0,0
Maharaja Whiteline Turbo DLX 750-Watt Mixer Grinder with 3 Jars (Black),MAHA-WHT-TUR-DLX-750-BLK,Defective001,1,0,0,0,0
Syska HT300 Beard Trimmer (Black),Sys-Ht300-Blk,Defective001,2,0,0,0,0
Wahl Folding Hair Razor Black Razors,Wahl-Fol-har-Raz-Blk,Defective001,1,0,0,0,0
GILMA Infrared Thermometer Non-Contact Digital Temperature Gun with LCD Display for Infants Babys and Adults - 1 Unit (MADE IN INDIA),Glima-infa-Ther-Blu,Defective001,2,0,0,0,0
Maharaja Whiteline HB-117 130 W Turbomix+ Hand Blender (White & Red) with Ice Crushing Function,Maha-Wht-HB-117-Wht-Red,Defective001,1,0,0,0,0
"Maharaja Whiteline Electric Kettle Viva Excel 1.8L Steel, 1500 Watt",Maha-Wht-Ele-Kett-Viva-1-8-Sil-Blk,Defective001,1,0,0,0,0
