"month","fnsku","sku","product-name","average-quantity","end-quantity","fulfillment-center-id","detailed-disposition","country"
"12/2020","X000Y18GHH","YQ-QA2U-U5RW","Prestige Stainless Steel Water Bottle, 500 ml, Silver","7.03","0","SIDA","SELLABLE","IN"
"12/2020","X000WIH1IH","WH-HMP1-S5JV","Gst Royale Plus Schott Glasstop Gt02 Ai","0.19","0","QWTT","SELLABLE","IN"
"12/2020","X000US8BLZ","YE-IBSD-M30Y","Prestige Deluxe Alpha Stainless Steel Pressure Cooker, 6.5 Litres, Silver","6.16","0","SIDA","SELLABLE","IN"
"12/2020","X000UR4Q7T","90-FKLX-2TKA","Prestige Omega Deluxe Induction Base Non-Stick Kitchen Set, 3-Pieces","1.42","0","QWTT","SELLABLE","IN"
"12/2020","X000T82N5V","4B-H2FP-7K7M","Prestige Delight PRWO 1.5 Electric Rice Cooker with Steaming Feature","24.61","26","SIDA","SELLABLE","IN"
"12/2020","X000T3JDX1","ubnh88vksv","Prestige Deluxe Plus Junior Induction Base Aluminium Pressure Handi, 4.8 Litres, Flame Red","9.74","11","SIDA","SELLABLE","IN"
"12/2020","X000SW9DJ7","M6-8QEQ-DJR0","Prestige PROCG 1.8 700-Watt Rice Cooker","0.06","0","QWTT","SELLABLE","IN"
"12/2020","X000RZ21KD","BM-BSOR-A85E","Bajaj Flashy 1000 Watts Radiant Room Heater (Steel)","1.1","0","SIDA","SELLABLE","IN"
"12/2020","X000R75XSX","W2-R17K-WPI9","Wonderchef - Royal Velvet Induction Base Aluminium Nonstick Cookware Set, 5-Pieces, Purple","0.13","0","QWTT","SELLABLE","IN"
"12/2020","X000R0E6FB","HN-UM5H-DO68","Prestige PRWO 1.8-2 700-Watts Delight Electric Rice Cooker with 2 Aluminium Cooking Pans","3.06","0","SIDA","SELLABLE","IN"
"12/2020","X000R0C9M3","ES-70QZ-JLAV","Prestige PIC 20 1200 Watt Induction Cooktop with Push button (Black)","5.32","12","QWTT","SELLABLE","IN"
"12/2020","X000QUHCHB","J4-KAKA-0G4X","Bajaj Majesty Duetto Gas 6 LTR Vertical Water Heater (LPG), White","0.06","0","QWTT","SELLABLE","IN"
"12/2020","X001A112W1","QZ-KZG7-YJOU","Morphy Richards 60 RCSS 60-Litre Oven Toaster Grill (Black/Silver)","1.42","0","SIDA","SELLABLE","IN"
"12/2020","X0019XLDQ5","amzn1.fba.v1.J8PSU3FtZcjbDsMYbVZqbmuv9CM","Wonderchef - 63152645 Deep Pocket 830 Watts Sandwich Maker (White/Purple)","0.65","0","BOM7","CUSTOMER_DAMAGED","IN"
"12/2020","X0019NWWDD","TM-BH5S-XNET","Bajaj Calenta Storage 6 LTR Vertical Water Heater, White, 4 Star","3.16","5","SIDA","SELLABLE","IN"
